"","tag","pos"
"1","466850","新北市"
"2","466880","新北市"
"3","466900","新北市"
"4","466910","臺北市"
"5","466920","臺北市"
"6","466930","臺北市"
"7","466940","基隆市"
"8","466950","基隆市"
"9","466990","花蓮縣"
"10","467050","桃園市"
"11","467060","宜蘭縣"
"12","467080","宜蘭縣"
"13","467110","金門縣"
"14","467300","澎湖縣"
"15","467350","澎湖縣"
"16","467410","臺南市"
"17","467420","臺南市"
"18","467440","高雄市"
"19","467480","嘉義市"
"20","467490","臺中市"
"21","467530","嘉義縣"
"22","467540","臺東縣"
"23","467550","南投縣"
"24","467571","新竹縣"
"25","467590","屏東縣"
"26","467610","臺東縣"
"27","467620","臺東縣"
"28","467650","南投縣"
"29","467660","臺東縣"
"30","467770","臺中市"
"31","467790","屏東縣"
"32","467990","連江縣"
"33","C0A520","新北市"
"34","C0A530","新北市"
"35","C0A540","新北市"
"36","C0A550","新北市"
"37","C0A560","新北市"
"38","C0A570","新北市"
"39","C0A640","新北市"
"40","C0A650","新北市"
"41","C0A660","新北市"
"42","C0A860","新北市"
"43","C0A870","新北市"
"44","C0A880","新北市"
"45","C0A890","新北市"
"46","C0A920","新北市"
"47","C0A931","新北市"
"48","C0A940","新北市"
"49","C0A950","新北市"
"50","C0A970","新北市"
"51","C0A980","臺北市"
"52","C0A9A0","臺北市"
"53","C0A9B0","臺北市"
"54","C0A9C0","臺北市"
"55","C0A9E0","臺北市"
"56","C0A9F0","臺北市"
"57","C0AC40","臺北市"
"58","C0AC60","新北市"
"59","C0AC70","臺北市"
"60","C0AC80","臺北市"
"61","C0ACA0","新北市"
"62","C0AD00","新北市"
"63","C0AD10","新北市"
"64","C0AD30","新北市"
"65","C0AD40","新北市"
"66","C0AD50","新北市"
"67","C0AG90","新北市"
"68","C0AH00","新北市"
"69","C0AH10","新北市"
"70","C0AH30","新北市"
"71","C0AH40","臺北市"
"72","C0AH50","新北市"
"73","C0AH70","臺北市"
"74","C0AH80","新北市"
"75","C0AH90","新北市"
"76","C0AI00","新北市"
"77","C0AI10","新北市"
"78","C0AI20","新北市"
"79","C0B010","基隆市"
"80","C0B020","基隆市"
"81","C0C460","桃園市"
"82","C0C480","桃園市"
"83","C0C490","桃園市"
"84","C0C540","桃園市"
"85","C0C590","桃園市"
"86","C0C620","桃園市"
"87","C0C630","桃園市"
"88","C0C650","桃園市"
"89","C0C660","桃園市"
"90","C0C670","桃園市"
"91","C0C680","桃園市"
"92","C0C700","桃園市"
"93","C0C710","桃園市"
"94","C0D360","新竹縣"
"95","C0D390","新竹縣"
"96","C0D430","新竹縣"
"97","C0D480","新竹縣"
"98","C0D540","新竹縣"
"99","C0D550","新竹縣"
"100","C0D560","新竹縣"
"101","C0D570","新竹市"
"102","C0D580","新竹縣"
"103","C0D590","新竹縣"
"104","C0D650","新竹縣"
"105","C0D660","新竹市"
"106","C0E420","苗栗縣"
"107","C0E430","苗栗縣"
"108","C0E520","苗栗縣"
"109","C0E530","苗栗縣"
"110","C0E540","苗栗縣"
"111","C0E550","苗栗縣"
"112","C0E590","苗栗縣"
"113","C0E610","苗栗縣"
"114","C0E730","苗栗縣"
"115","C0E740","苗栗縣"
"116","C0E750","苗栗縣"
"117","C0E780","苗栗縣"
"118","C0E790","苗栗縣"
"119","C0E810","苗栗縣"
"120","C0E820","苗栗縣"
"121","C0E830","苗栗縣"
"122","C0E850","苗栗縣"
"123","C0E860","苗栗縣"
"124","C0E870","苗栗縣"
"125","C0F000","臺中市"
"126","C0F0A0","臺中市"
"127","C0F0B0","臺中市"
"128","C0F0C0","臺中市"
"129","C0F0D0","臺中市"
"130","C0F0E0","臺中市"
"131","C0F850","臺中市"
"132","C0F861","臺中市"
"133","C0F930","臺中市"
"134","C0F970","臺中市"
"135","C0F9A0","臺中市"
"136","C0F9I0","臺中市"
"137","C0F9K0","臺中市"
"138","C0F9L0","臺中市"
"139","C0F9M0","臺中市"
"140","C0F9N0","臺中市"
"141","C0F9O0","臺中市"
"142","C0F9P0","臺中市"
"143","C0F9Q0","臺中市"
"144","C0F9R0","臺中市"
"145","C0F9S0","臺中市"
"146","C0F9T0","臺中市"
"147","C0F9U0","臺中市"
"148","C0F9V0","臺中市"
"149","C0F9X0","臺中市"
"150","C0F9Y0","臺中市"
"151","C0F9Z0","臺中市"
"152","C0G620","彰化縣"
"153","C0G640","彰化縣"
"154","C0G650","彰化縣"
"155","C0G660","彰化縣"
"156","C0G720","彰化縣"
"157","C0G730","彰化縣"
"158","C0G740","彰化縣"
"159","C0G750","彰化縣"
"160","C0G760","彰化縣"
"161","C0G770","彰化縣"
"162","C0G780","彰化縣"
"163","C0G790","彰化縣"
"164","C0G800","彰化縣"
"165","C0G810","彰化縣"
"166","C0G820","彰化縣"
"167","C0G830","彰化縣"
"168","C0G840","彰化縣"
"169","C0G850","彰化縣"
"170","C0G860","彰化縣"
"171","C0G870","彰化縣"
"172","C0G880","彰化縣"
"173","C0G890","彰化縣"
"174","C0H890","南投縣"
"175","C0H950","南投縣"
"176","C0H960","南投縣"
"177","C0H990","南投縣"
"178","C0H9A0","南投縣"
"179","C0H9C0","南投縣"
"180","C0I010","南投縣"
"181","C0I080","南投縣"
"182","C0I090","南投縣"
"183","C0I110","南投縣"
"184","C0I360","南投縣"
"185","C0I370","南投縣"
"186","C0I380","南投縣"
"187","C0I390","南投縣"
"188","C0I410","南投縣"
"189","C0I420","南投縣"
"190","C0I460","南投縣"
"191","C0I480","南投縣"
"192","C0I490","南投縣"
"193","C0I520","南投縣"
"194","C0I530","南投縣"
"195","C0I540","南投縣"
"196","C0K240","雲林縣"
"197","C0K250","雲林縣"
"198","C0K280","雲林縣"
"199","C0K291","雲林縣"
"200","C0K330","雲林縣"
"201","C0K390","雲林縣"
"202","C0K400","雲林縣"
"203","C0K410","雲林縣"
"204","C0K420","雲林縣"
"205","C0K430","雲林縣"
"206","C0K440","雲林縣"
"207","C0K450","雲林縣"
"208","C0K460","雲林縣"
"209","C0K470","雲林縣"
"210","C0K480","雲林縣"
"211","C0K490","雲林縣"
"212","C0K500","雲林縣"
"213","C0K510","雲林縣"
"214","C0K520","雲林縣"
"215","C0K530","雲林縣"
"216","C0K550","雲林縣"
"217","C0K560","雲林縣"
"218","C0K580","雲林縣"
"219","C0M410","嘉義縣"
"220","C0M520","嘉義縣"
"221","C0M530","嘉義縣"
"222","C0M640","嘉義縣"
"223","C0M650","嘉義縣"
"224","C0M660","嘉義縣"
"225","C0M670","嘉義縣"
"226","C0M680","嘉義縣"
"227","C0M690","嘉義縣"
"228","C0M700","嘉義縣"
"229","C0M710","嘉義縣"
"230","C0M720","嘉義縣"
"231","C0M730","嘉義市"
"232","C0M740","嘉義縣"
"233","C0M750","嘉義縣"
"234","C0M760","嘉義縣"
