郵遞區號,CountryName,CountryAreaName,CT,WarinCountryArea,二級警戒_1,二級警戒_3,二級警戒_6,二級警戒_12,二級警戒_24,一級警戒_1,一級警戒_3,一級警戒_6,一級警戒_12,一級警戒_24
100,台北市,中正區,台北市中正區,"中正區-南陽街及新光商圈 ,許昌街 ,開封街一段 ,漢口街 ,懷寧街 ,信陽街 ,衡陽路 ,公園路 ,武昌街 ,重慶南路一段 ,忠孝西路館前路 ,詔安街巷 ,羅斯福路3段",60,120,150,220,320,70,130,180,250,350
103,台北市,大同區,台北市大同區,"大同區-承德路二段,民權西路（成淵高中附近）,重慶北路一段與長安西路口、太原路及南京西路口,延平北路及南京西路口路口",60,110,160,270,320,70,120,180,300,350
104,台北市,中山區,台北市中山區,"中山區-濱江街（機場旁道路）,新生北路沿線",60,100,150,240,300,70,110,180,280,350
105,台北市,松山區,台北市松山區,"松山區-濱江街(機場旁道路）,敦化北路,長春路,五常街,和平東路三段,富陽街",60,110,170,270,330,70,130,200,300,350
106,台北市,大安區,台北市大安區,"大安區-基隆路三段,長興街,敦化南路一段、大安路一段、忠孝東路四段、、",60,100,140,250,320,70,120,170,280,350
108,台北市,萬華區,台北市萬華區,"萬華區-西園路二段52巷 ,和平西路三段286巷 ,雅江街(長沙街至內江街)",60,120,150,300,360,70,140,180,340,400
110,台北市,信義區,台北市信義區,"信義區-信義路五段,吳興街,忠孝東路四,永吉路,松隆路",60,110,200,300,360,70,130,230,330,400
111,台北市,士林區,台北市士林區,士林區-社子島地區,50,110,160,230,270,60,120,180,260,300
112,台北市,北投區,台北市北投區,"北投區-洲美地區(洲美里,吉慶里,立賢里,立農里),關渡地區(八仙里,關渡里),中央南路二段,大業路及承德路七段低窪地區",60,110,160,250,300,70,120,180,280,350
114,台北市,內湖區,台北市內湖區,內湖區-大湖山莊街、康寧路三段（南湖國小）、東湖路、安康路、內湖路一段、康樂街,60,110,170,270,330,70,130,200,300,350
115,台北市,南港區,台北市南港區,"南港區-研究院路一段,忠孝東路七段,東新街,忠孝東路七段南港車站附近,南港路一段",60,130,180,270,320,70,150,210,300,350
116,台北市,文山區,台北市文山區,"文山區-木新路,保儀路一帶(樟腳里,順興里),興德路,福興路一帶(興旺里,興光里)",50,100,150,210,320,60,120,170,240,350
200,基隆市,仁愛區,基隆市仁愛區,"仁愛區-新店里(忠一路忠二路孝二路),明德里(愛一路愛二路),玉田里(仁一路仁二路),忠勇里(仁一路)",40,90,130,180,250,50,100,150,220,300
201,基隆市,信義區,基隆市信義區,"信義區-信一、二路,東信路,仁一路,月眉路,東明路,崇法街,深澳坑路",40,90,130,180,250,50,100,150,220,300
202,基隆市,中正區,基隆市中正區,"中正區-港通里,信義里,義一路與信五路口",40,90,130,180,250,50,100,150,220,300
203,基隆市,中山區,基隆市中山區,中山區-安平里（中山一路60號附近）,40,90,130,180,250,50,100,150,220,300
204,基隆市,安樂區,基隆市安樂區,"安樂區-樂一路,麥金路,安一路,新西街,定國街,基金一、三路,安和一街,樂利三街",40,90,130,180,250,50,100,150,220,300
205,基隆市,暖暖區,基隆市暖暖區,暖暖區-碇和里(源遠路226附近),40,90,130,180,250,50,100,150,220,300
206,基隆市,七堵區,基隆市七堵區,"七堵區-華新一、二路,大華二、三路,自強路,崇孝街,崇智街,崇信街,堵南街,溪頭街,大德路,明德一、二路,俊賢路",40,90,130,200,250,50,100,150,250,300
207,新北市,萬里區,新北市萬里區,萬里區-大鵬里,60,130,190,300,400,70,140,220,340,450
208,新北市,金山區,新北市金山區,"金山區-清泉區,磺港區",60,130,190,300,400,70,140,220,340,450
209,連江縣,南竿鄉,連江縣南竿鄉,"南竿鄉-介壽村,馬祖村",40,110,170,250,320,50,120,200,280,350
220,新北市,板橋區,新北市板橋區,"板橋區-漢生東西路與文化路,大觀路二段,環漢路,漢生東路與中山路,長安街331巷,縣民大道府中站附近,溪城路金門街口,篤行路2段131巷",40,90,130,170,210,50,110,150,200,250
221,新北市,汐止區,新北市汐止區,"汐止區-保長里,長安里,橫科里,福山里,區長里,江北里,長江街,五堵,汐萬路,大同路,樟樹一,二路一帶，長興街,長安街汐止火車站,茄苳街,環河路",40,100,130,180,250,50,120,150,210,300
222,新北市,深坑區,新北市深坑區,"深坑區-萬福里,萬順里,深坑里",50,130,200,300,400,60,150,230,350,450
223,新北市,石碇區,新北市石碇區,"石碇區-潭邊里,烏塗里,永定里,格頭里",70,130,200,300,400,80,150,230,350,450
224,新北市,瑞芳區,新北市瑞芳區,"瑞芳區-爪峰里,新峰里,東和里,柑坪里,基山街,明燈路一段,侯硐路,三爪子坑路一帶,四腳亭,第二瑞八公路一帶",50,120,150,250,350,60,130,180,280,400
226,新北市,平溪區,新北市平溪區,"平溪區-106線路段,石底里",70,130,200,300,400,80,150,230,350,450
227,新北市,雙溪區,新北市雙溪區,"雙溪區-新基里,雙溪里,三港里,牡丹里,三貂里,平林里,上林里,外柑里,長源里,泰平里,共和里,魚行里,新基西街,長安街與大同街口,東榮街,泰昌街,長安街",60,150,190,300,400,70,170,220,350,450
228,新北市,貢寮區,新北市貢寮區,"貢寮區-貢寮里,美丰里,龍門里龍門街",60,150,190,240,350,70,170,220,280,400
231,新北市,新店區,新北市新店區,"新店區-寶福里,寶安里,復興路80巷,中興路,安康路一段二段, 北新路三段221巷,柴埕路,安和路,德正街,安和路安康路下城社區,安中路,中央五街,民生路158巷",50,120,150,200,300,60,130,180,250,350
232,新北市,坪林區,新北市坪林區,"坪林區-金瓜寮路段,粗窟村",70,130,200,300,360,80,150,230,330,400
233,新北市,烏來區,新北市烏來區,烏來區-烏來里烏來街,60,130,210,280,400,70,140,270,310,450
234,新北市,永和區,新北市永和區,"永和區-得和里,保安里,保順里,復興商工一帶,中正路,秀朗路一,二段,國光路,永利路,民享街,民有街,民治街,福和路,大新街至自強街,保福路一段,林森路,保平路,安樂路,永寧街,民光街",50,110,140,190,250,60,120,170,230,300
235,新北市,中和區,新北市中和區,"中和區-景新街,板南路,景平路,景安路,復興路,中興街,中山路(二段),民享街,華新街,忠孝街,仁愛街,興南路三段,中正路。",40,100,130,190,250,50,110,150,230,300
236,新北市,土城區,新北市土城區,"土城區-永寧捷運站附近金城路二~三段,承天路,和平路,永和街",40,100,130,170,250,50,110,150,210,300
237,新北市,三峽區,新北市三峽區,"三峽區-添福里, 橫溪橋附近,湊合橋附近,大學路,礁溪里",60,130,170,210,300,70,140,200,250,350
238,新北市,樹林區,新北市樹林區,"樹林區-圳福里,圳民里,保安街三段一帶,樹林工業區(樹潭街,武林街),中正路,光武街 ,光華營區,三福街,三俊街,大安路,潭興街107巷,佳園路三段",50,100,130,170,250,60,110,150,210,300
