,年份,颱風編號,颱風名稱,侵臺路徑分類,警報期間,近臺強度,近臺最低氣壓(hPa),近臺最大風速(m/s),近臺7級風暴風半徑(km),近臺10級風暴風半徑(km),警報發布報數
,2019,201905,丹娜絲,---,2019/7/16 23:30,,---,---,---,---,---
,,,(DANAS),,2019/7/18 17:30,,,,,,
,2018,201822,山竹,---,2018/9/14 11:30,強烈,895,60,320,120,12
,,,(MANGKHUT),,2018/9/15 20:30,,,,,,
,2018,201808,瑪莉亞,---,2018/7/9 14:30,強烈,915,55,280,100,17
,,,(MARIA),,2018/7/11 14:30,,,,,,
,2017,201718,泰利,---,2017/9/12 14:30,中度,935,48,250,80,19
,,,(TALIM),,2017/9/14 20:30,,,,,,
,2017,201717,谷超,---,2017/9/6 10:30,輕度,998,18,80,---,7
,,,(GUCHOL),,2017/9/7 02:30,,,,,,
,2017,201713,天鴿,---,2017/8/20 23:30,中度,965,33,180,50,15
,,,(HATO),,2017/8/22 17:30,,,,,,
,2017,201710,海棠,7,2017/7/29 17:30,輕度,990,20,100,---,14
,,,(HAITANG),,2017/7/31 08:30,,,,,,
,2017,201709,尼莎,2,2017/7/28 08:30,中度,955,40,180,60,19
,,,(NESAT),,2017/7/30 14:30,,,,,,
,2016,201619,艾利,---,2016/10/5 11:30,輕度,998,18,120,---,10
,,,(AERE),,2016/10/6 14:30,,,,,,
,2016,201617,梅姬,3,2016/9/25 23:30,中度,940,45,250,100,23
,,,(MEGI),,2016/9/28 17:30,,,,,,
,2016,201616,馬勒卡,---,2016/9/15 23:30,中度,940,45,180,60,20
,,,(MALAKAS),,2016/9/18 08:30,,,,,,
,2016,201614,莫蘭蒂,7,2016/9/12 23:30,強烈,900,60,220,80,21
,,,(MERANTI),,2016/9/15 11:30,,,,,,
,2016,201601,尼伯特,4,2016/7/6 14:30,強烈,905,58,200,80,25
,,,(NEPARTAK),,2016/7/9 14:30,,,,,,
,2015,201521,杜鵑,2,2015/9/27 08:30,強烈,925,51,220,80,20
,,,(DUJUAN),,2015/9/29 17:30,,,,,,
,2015,201515,天鵝,---,2015/8/20 17:30,強烈,925,51,200,80,26
,,,(GONI),,2015/8/23 20:30,,,,,,
,2015,201513,蘇迪勒,3,2015/8/6 11:30,中度,930,48,300,100,24
,,,(SOUDELOR),,2015/8/9 08:30,,,,,,
,2015,201510,蓮花,---,2015/7/6 08:30,輕度,975,30,120,30,24
,,,(LINFA),,2015/7/9 05:30,,,,,,
,2015,201509,昌鴻,---,2015/7/9 05:30,中度,935,48,280,100,19
,,,(CHAN-HOM),,2015/7/11 11:30,,,,,,
,2015,201506,紅霞,---,2015/5/10 08:30,強烈,925,51,200,80,13
,,,(NOUL),,2015/5/11 20:30,,,,,,
,2014,201416,鳳凰,特殊,2014/9/19 08:30,輕度,985,25,150,---,25
,,,(FUNG-WONG),,2014/9/22 08:30,,,,,,
,2014,201410,麥德姆,3,2014/7/21 17:30,中度,960,38,200,80,19
,,,(MATMO),,2014/7/23 23:30,,,,,,
,2014,201407,哈吉貝,---,2014/6/14 23:30,輕度,992,20,100,---,7
,,,(HAGIBIS),,2014/6/15 17:30,,,,,,
,2013,201323,菲特,1,2013/10/4 23:30,中度,960,38,250,80,20
,,,(FITOW),,2013/10/7 08:30,,,,,,
,2013,201319,天兔,5,2013/9/19 23:30,強烈,910,55,280,120,22
,,,(USAGI),,2013/9/22 14:30,,,,,,
,2013,201315,康芮,6,2013/8/27 11:30,輕度,985,25,120,0,20
,,,(KONG-REY),,2013/8/29 20:30,,,,,,
,2013,201312,潭美,1,2013/8/20 11:30,輕度,970,30,180,50,16
,,,(TRAMI ),,2013/8/22 08:30,,,,,,
,2013,201308,西馬隆,---,2013/7/17 10:30,輕度,998,18,100,---,10
,,,(CIMARON),,2013/7/18 11:30,,,,,,
,2013,201307,蘇力,2,2013/7/11 08:30,強烈,925,51,280,100,22
,,,(SOULIK ),,2013/7/13 23:30,,,,,,
,2012,201217,杰拉華,---,2012/9/27 02:30,強烈,910,55,250,100,15
,,,(JELAWAT),,2012/9/28 20:30,,,,,,
,2012,201214,天秤,特殊,2012/8/21 14:30,中度,945,45,180,50,33
,,,(TEMBIN),,2012/8/25 14:30,,,,,,
,2012,201214,天秤,特殊,2012/8/26 11:30,中度,945,35,180,50,21
,,,(TEMBIN),,2012/8/28 23:30,,,,,,
,2012,201213,啟德,---,2012/8/14 14:30,輕度,995,20,150,---,10
,,,(KAI-TAK),,2012/8/15 17:30,,,,,,
