颱風名稱,侵臺,警報期間,近臺,,,,,發布
,路徑,,,,,,,警報
,,,強度,近中心,近中心,7級風,10級風,次數
,,,,最低氣壓,最大風速,暴風半徑,暴風半徑,
,,,,（hPa）,（m/s）,（km）,（km）,
山竹,5,2018年9月14日－9月15日,強烈,895,60,320,120,12
瑪莉亞,1,2018年7月9日－7月11日,強烈,915,55,280,100,17
泰利,--,2017年9月12日－9月14日,中度,935,48,250,80,19
谷超,7,2017年9月6日－9月7日,輕度,998,18,80,--,7
天鴿,5,2017年8月20日－8月22日,中度,965,33,180,50,15
海棠,7,2017年7月29日－7月31日,中度,990,20,100,--,14
尼莎,2,2017年7月28日－7月30日,中度,955,40,180,60,19
艾利,--,2016年10月5日－10月6日,輕度,998,18,120,--,10
梅姬,3,2016年9月25日－9月28日,中度,940,45,250,100,23
馬勒卡,6,2016年9月15日－9月18日,中度,940,45,180,160,20
莫蘭蒂,7,2016年9月12日－9月15日,強烈,900,60,220,80,21
尼伯特,4,2016年7月6日－7月9日,強烈,905,58,200,80,25
杜鵑,2,2015年9月27日－9月29日,強烈,925,51,220,80,20
天鵝,6,2015年8月20日－8月23日,強烈,925,51,200,80,26
蘇迪勒,3,2015年8月6日－8月9日,中度,930,48,300,100,24
蓮花,--,2015年7月6日－7月9日,輕度,975,30,120,30,24
昌鴻,1,2015年7月9日－7月11日,中度,935,48,280,100,19
紅霞,6,2015年5月10日－5月11日,強烈,925,51,200,80,13
鳳凰,6,2014年9月19日－9月22日,輕度,985,25,150,--,25
麥德姆,3,2014年7月21日－7月23日,中度,960,38,200,80,19
哈吉貝,--,2014年6月14日－6月15日,輕度,992,20,100,--,7
菲特,1,2013年10月4日－10月7日,中度,960,38,250,80,20
天兔,5,2013年9月19日－9月22日,強烈,910,55,280,120,22
康芮,6,2013年8月27日－8月29日,輕度,985,25,120,--,20
潭美,1,2013年8月20日－8月22日,輕度,970,30,180,--,16
西馬隆,5,2013年7月17日－7月18日,輕度,998,18,100,--,10
蘇力,2,2013年7月11日－7月13日,強烈,925,51,280,100,22
杰拉華,6,2012年9月27日－9月28日,強烈,910,55,250,100,15
天秤,特殊,2012年8月26日－8月28日,中度,945,35,180,50,21
,,2012年8月21日－8月25日,中度,945,45,180,50,33
啟德,5,2012年8月14日－8月15日,輕度,995,20,150,--,10
海葵,1,2012年8月6日－8月7日,中度,960,35,180,50,11
蘇拉,2,2012年7月30日－8月3日,中度,960,38,220,80,31
杜蘇芮,5,2012年6月28日－6月29日,輕度,995,23,120,--,10
泰利,9,2012年6月19日－6月21日,輕度,985,25,150,--,17
南瑪都,4,2011年8月27日－8月31日,強烈,920,53,180,50,34
梅花,--,2011年8月4日－8月6日,中度,945,43,280,--,15
米雷,6,2011年6月23日－6月25日,輕度,982,28,200,--,14
桑達,6,2011年5月27日－5月28日,強烈,920,55,220,100,13
艾利,6,2011年5月9日－5月10日,輕度,990,23,150,--,13
梅姬,9,2010年10月21日－10月23日,中度,935,48,250,100,24
凡那比,4,2010年9月17日－9月20日,中度,940,45,200,80,22
莫蘭蒂,--,2010年9月9日－9月10日,輕度,990,23,100,--,10
南修,--,2010年8月30日－8月31日,輕度,995,18,80,--,9
萊羅克,9,2010年8月31日－9月2日,輕度,990,23,100,--,15
芭瑪,特殊,2009年10月3日－10月6日,中度,945,43,250,80,29
莫拉克,3,2009年8月5日－8月10日,中度,955,40,250,100,36
莫拉菲,5,2009年7月16日－7月18日,輕度,980,28,100,--,13
蓮花,9,2009年6月19日－6月22日,輕度,980,28,150,--,21
薔蜜,2,2008年9月26日－9月29日,強烈,925,53,280,100,25
哈格比,5,2008年9月21日－9月23日,中度,940,45,280,100,15
辛樂克,2,2008年9月11日－9月16日,強烈,925,51,250,100,43
如麗,5,2008年8月19日－8月21日,中度,955,40,220,80,16
鳳凰,3,2008年7月26日－7月29日,中度,948,43,220,80,25
卡玫基,2,2008年7月16日－7月18日,中度,970,33,120,50,20
米塔,--,2007年11月26日－11月27日,中度,955,35,200,80,11
柯羅莎,2,2007年10月4日－10月7日,強烈,925,51,300,120,27
韋帕,1,2007年9月17日－9月19日,中度,935,48,200,80,18
聖帕,3,2007年8月16日－8月19日,強烈,920,53,250,100,27
梧提,3,2007年8月8日－8月9日,輕度,992,18,100,--,9
帕布,4,2007年8月6日－8月8日,輕度,980,28,150,--,14
珊珊,6,2006年9月14日－9月16日,中度,945,48,200,80,17
寶發,4,2006年8月7日－8月9日,輕度,985,23,120,--,15
桑美,1,2006年8月9日－8月10日,中度,935,48,180,80,16
凱米,3,2006年7月23日－7月26日,中度,960,38,200,80,21
碧利斯,2,2006年7月12日－7月15日,輕度,978,25,300,--,25
艾維尼,--,2006年7月7日－7月9日,中度,925,43,300,80,11
珍珠,9,2006年5月16日－5月18日,中度,943,45,300,100,17
龍王,3,2005年9月30日－10月3日,強烈,925,51,200,80,21
丹瑞,5,2005年9月21日－9月23日,輕度,955,25,200,--,17
卡努,1,2005年9月9日－9月11日,中度,950,43,200,80,16
泰利,3,2005年8月30日－9月1日,強烈,920,53,250,100,22
珊瑚,7,2005年8月11日－8月13日,輕度,985,25,200,--,19
馬莎,1,2005年8月3日－8月6日,中度,955,40,250,80,25
海棠,3,2005年7月16日－7月20日,強烈,912,55,280,120,29
南瑪都,9,2004年12月3日－12月4日,中度,940,38,250,80,13
納坦,6,2004年10月23日－10月26日,中度,945,43,250,100,19
米雷,--,2004年9月26日－9月27日,中度,940,40,200,80,11
海馬,6,2004年9月11日－9月13日,輕度,998,18,100,--,12
艾利,1,2004年8月23日－8月26日,中度,960,38,200,50,28
蘭寧,1,2004年8月10日－8月13日,中度,955,40,250,100,18
康伯斯,5,2004年7月14日－7月15日,輕度,995,20,100,--,10
敏督利,6,2004年6月28日－7月3日,中度,942,45,250,100,39
康森,6,2004年6月7日－6月9日,中度,970,33,150,50,19
米勒,8,2003年11月2日－11月3日,輕度,975,25,150,--,15
杜鵑,5,2003年8月31日－9月2日,中度,950,43,250,100,19
科羅旺,5,2003年8月22日－8月23日,中度,970,33,250,100,11
梵高,1,2003年8月19日－8月20日,輕度,998,18,100,--,9
莫拉克,4,2003年8月2日－8月4日,輕度,990,23,100,--,19
尹布都,5,2003年7月21日－7月23日,中度,935,48,300,120,15
蘇迪勒,6,2003年6月16日－6月18日,中度,960,38,200,50,18
南卡,8,2003年6月1日－6月3日,輕度,990,23,100,--,11
柯吉拉,6,2003年4月21日－4月24日,中度,925,43,250,100,30
辛樂克,1,2002年9月4日－9月8日,中度,950,40,300,100,33
娜克莉,9,2002年7月9日－7月10日,輕度,987,18,80,--,15
雷馬遜,--,2002年7月2日－7月4日,中度,950,45,300,100,18
海燕,--,2001年10月15日－10月16日,中度,965,35,250,100,14
利奇馬,4,2001年9月23日－9月28日,中度,965,35,180,50,37
納莉,特殊,2001年9月8日－9月10日,中度,960,40,150,50,12
,,2001年9月13日－9月19日,中度,960,40,150,50,52
桃芝,3,2001年7月28日－7月31日,中度,962,38,250,100,28
玉兔,5,2001年7月23日－7月24日,輕度,962,30,150,--,8
潭美,4,2001年7月10日－7月11日,輕度,995,20,80,--,13
尤特,5,2001年7月3日－7月5日,中度,960,38,350,120,20
奇比,7,2001年6月22日－6月24日,中度,965,35,200,80,19
西馬隆,8,2001年5月11日－5月13日,輕度,990,23,150,--,20
貝碧佳,--,2000年11月6日－11月7日,輕度,970,28,200,--,9
象神,6,2000年10月30日－11月1日,中度,960,38,250,100,17
雅吉,--,2000年10月23日－10月26日,中度,970,33,180,50,21
寶發,6,2000年9月8日－9月10日,輕度,990,23,180,--,17
巴比侖,6,2000年8月27日－8月30日,輕度,965,33,250,--,23
碧利斯,3,2000年8月21日－8月23日,強烈,930,53,300,120,21
啟德,6,2000年7月6日－7月10日,中度,965,35,150,50,30
