"","name","Salary","Height","FG.","Percentage","sp_percentage"
"1","A. Aminu - POR","6957105",81,0.433,0.0798546868880576,0.08
"2","A. Bradley - MEM","12000000",74,0.408,0.0986026849102878,0.00819672131147541
"3","A. Drummond - DET","25434263",83,0.533,0.161224489795918,0.15625
"4","A. Gordon - ORL","21590909",81,0.449,0.139464133219471,0.146341463414634
"5","A. Horford - BOS","28928710",82,0.535,0.0974923580490708,0.110091743119266
"6","A. Len - ATL","4350000",85,0.494,0.0801089918256131,0.0641025641025641
"7","A. Wiggins - MIN","25467250",80,0.412,0.160626706609051,0.174757281553398
"8","B. Adebayo - MIA","2955840",82,0.576,0.0792815823541943,0.0598290598290598
"9","B. Beal - WAS","25434263",77,0.475,0.225835007798558,0.304761904761905
"10","B. Bogdanovic - IND","10500000",80,0.497,0.144331592581932,0.216867469879518
"11","B. Bogdanovic - SAC","9000000",78,0.418,0.107378030529781,0.174311926605505
"12","B. Forbes - SAS","3125000",75,0.456,0.108828490059999,0.1875
"13","B. Griffin - DET","32088932",82,0.462,0.205999693110327,0.302083333333333
"14","B. Hield - SAC","3833760",76,0.458,0.169759553028036,0.238532110091743
"15","B. Ingram - LAL","5757120",81,0.497,0.0987573932389169,0.043956043956044
"16","B. Lopez - MIL","3382000",84,0.452,0.102923838717284,0.102564102564103
"17","B. Portis - WAS","2494346",83,0.444,0.0885241755307938,0.0285714285714286
"18","B. Simmons - PHI","6434520",82,0.563,0.122770814226027,0.104651162790698
"19","C. Capela - HOU","15293104",82,0.648,0.119372977214031,0.0657894736842105
"20","C. Joseph - IND","7945000",75,0.412,0.0753046314952643,0.0120481927710843
"21","C. McCollum - POR","25759766",75,0.459,0.168271503234432,0.22
"22","C. Osman - CLE","2775000",80,0.427,0.141285233381902,0.0864197530864197
"23","C. Paul - HOU","35654150",72,0.419,0.117558599496551,0.144736842105263
"24","C. Sexton - CLE","4068600",74,0.43,0.201879113701452,0.209876543209877
"25","D. Augustin - ORL","7250000",72,0.47,0.0907877882152007,0.0487804878048781
"26","D. Ayton - PHO","8165160",85,0.585,0.10259271877166,0.0731707317073171
"27","D. Bembry - ATL","1634640",78,0.446,0.0761704235818677,0.0256410256410256
"28","D. Booker - PHO","3314365",78,0.467,0.147363227329864,0.317073170731707
"29","D. Carroll - BRK","15400000",80,0.395,0.0748749269053343,0.0747663551401869
"30","D. Collison - IND","10000000",72,0.467,0.0906287265101361,0.204819277108434
"31","D. DeRozan - SAS","27739975",79,0.481,0.182030580363315,0.3375
"32","D. Finney-Smith - DAL","1544951",80,0.432,0.0786619255363653,0.0471698113207547
"33","D. Fox - SAC","5470920",75,0.458,0.137384016761449,0.247706422018349
"34","D. Gallinari - LAC","21587579",82,0.463,0.117309835978555,0.141176470588235
"35","D. Green - TOR","10000000",78,0.465,0.093325457767277,0.204301075268817
"36","D. Lillard - POR","27977689",75,0.444,0.207435817791403,0.43
"37","D. Mitchell - UTA","3111480",75,0.432,0.218267025625686,0.506493506493506
"38","D. Powell - DAL","9631250",83,0.597,0.0724765433574374,0.0566037735849057
"39","D. Rose - MIN","2176260",75,0.482,0.100050369820524,0.203883495145631
"40","D. Russell - BRK","7019698",77,0.434,0.196829315833929,0.308411214953271
"41","D. Sabonis - IND","2659800",83,0.59,0.0963581287607769,0.0602409638554217
"42","D. Saric - MIN","2526840",82,0.437,0.0923358341507383,0.0485436893203883
"43","D. Schroder - OKC","15500000",73,0.414,0.148924137559583,0.127272727272727
"44","D. Wade - MIA","2393887",76,0.433,0.156924438326533,0.341880341880342
