"","name","time"
"1","金閣",2
"2","父親",2
"3","父親",7
"4","學校",25
"5","金閣",30
"6","金閣",32
"7","金閣",34
"8","父親",34
"9","金閣",35
"10","金閣",36
"11","父親",36
"12","父親",37
"13","金閣",38
"14","美",38
"15","金閣",40
"16","金閣",43
"17","金閣",48
"18","金閣",50
"19","結巴",65
"20","結巴",68
"21","結巴",70
"22","結巴",72
"23","結巴",82
"24","死",83
"25","結巴",101
"26","存在",116
"27","學校",122
"28","美",141
"29","結巴",168
"30","結巴",176
"31","學校",177
"32","結巴",178
"33","黑暗",198
"34","美",210
"35","學校",211
"36","學校",214
"37","美",229
"38","美",236
"39","有為子",272
"40","有為子",273
"41","女人",279
"42","有為子",281
"43","學校",281
"44","有為子",287
"45","黑暗",292
"46","有為子",293
"47","有為子",298
"48","黑暗",301
"49","黑暗",303
"50","有為子",310
"51","有為子",327
"52","有為子",328
"53","存在",337
"54","黑暗",340
"55","結巴",342
"56","有為子",343
"57","黑暗",347
"58","有為子",348
"59","黑暗",354
"60","有為子",370
"61","黑暗",373
"62","有為子",382
"63","有為子",385
"64","母親",386
"65","有為子",388
"66","死",389
"67","有為子",395
"68","死",395
"69","有為子",403
"70","黑暗",404
"71","存在",406
"72","存在",407
"73","死",408
"74","死",410
"75","有為子",411
"76","學校",422
"77","有為子",433
"78","有為子",440
"79","父親",445
"80","母親",448
"81","有為子",457
"82","有為子",461
"83","有為子",462
"84","有為子",466
"85","拒絕",470
"86","拒絕",471
"87","有為子",472
"88","拒絕",472
"89","拒絕",478
"90","美",488
"91","有為子",489
"92","美",489
"93","拒絕",489
"94","美",494
"95","有為子",495
"96","有為子",500
"97","有為子",504
"98","有為子",508
"99","有為子",517
"100","有為子",518
"101","有為子",555
"102","美",575
"103","美",577
"104","有為子",579
"105","有為子",585
"106","美",587
"107","有為子",590
"108","美",590
"109","有為子",606
"110","有為子",610
"111","拒絕",612
"112","有為子",617
"113","黑暗",618
"114","有為子",620
"115","有為子",624
"116","有為子",625
"117","父親",657
"118","父親",661
"119","父親",665
"120","父親",666
"121","父親",668
"122","金閣",669
"123","金閣",671
"124","父親",672
"125","金閣",675
"126","金閣",678
"127","美",678
"128","金閣",680
"129","美",680
"130","金閣",681
"131","美",681
"132","金閣",683
"133","金閣",684
"134","美",684
"135","金閣",690
"136","金閣",691
"137","金閣",699
"138","金閣",707
"139","美",723
"140","金閣",735
"141","黑暗",736
"142","金閣",737
"143","黑暗",738
"144","美",739
"145","金閣",743
"146","美",743
"147","黑暗",744
"148","美",767
"149","美",768
"150","金閣",772
"151","黑暗",778
"152","美",780
"153","父親",782
"154","美",785
"155","美",787
"156","存在",787
"157","美",789
"158","存在",789
"159","美",790
"160","存在",790
"161","金閣",792
"162","美",795
"163","金閣",798
"164","存在",798
"165","金閣",799
"166","美",801
"167","金閣",804
"168","美",804
"169","金閣",807
"170","美",808
"171","金閣",809
"172","美",809
"173","父親",822
"174","父親",828
"175","父親",840
"176","死",840
"177","死",843
"178","黑暗",847
"179","父親",850
"180","父親",858
"181","父親",862
"182","死",866
"183","美",872
"184","父親",878
"185","金閣",882
"186","父親",883
"187","父親",884
"188","父親",887
"189","父親",890
"190","父親",891
"191","金閣",899
"192","金閣",903
"193","金閣",905
"194","金閣",913
"195","父親",919
"196","美",925
"197","美",928
"198","美",929
"199","美",934
"200","金閣",938
"201","美",938
"202","美",940
"203","金閣",942
"204","美",945
"205","美",946
"206","父親",948
"207","金閣",949
"208","金閣",951
"209","金閣",953
"210","存在",954
"211","金閣",956
"212","金閣",957
"213","父親",960
"214","美",965
"215","美",970
"216","金閣",975
"217","金閣",984
"218","父親",988
"219","父親",989
"220","父親",997
"221","金閣",1003
"222","父親",1010
"223","父親",1011
"224","父親",1013
"225","父親",1031
"226","父親",1043
"227","金閣",1053
"228","美",1058
"229","金閣",1059
"230","父親",1060
"231","父親",1061
"232","黑暗",1062
"233","父親",1063
"234","死",1073
"235","死",1076
"236","死",1077
"237","死",1080
"238","金閣",1085
"239","父親",1085
"240","父親",1087
"241","金閣",1090
"242","金閣",1094
"243","黑暗",1095
"244","父親",1103
"245","父親",1106
"246","金閣",1108
"247","美",1109
"248","金閣",1110
"249","美",1110
"250","美",1111
"251","金閣",1115
"252","金閣",1116
"253","金閣",1121
"254","金閣",1124
"255","美",1124
"256","父親",1126
"257","父親",1128
"258","母親",1130
"259","父親",1131
"260","父親",1132
"261","父親",1136
"262","死",1136
"263","父親",1140
"264","燒",1149
"265","死",1150
"266","死",1155
"267","死",1157
"268","死",1160
"269","死",1161
"270","父親",1164
"271","母親",1166
"272","結巴",1167
"273","父親",1168
"274","父親",1169
"275","存在",1175
"276","存在",1181
"277","死",1182
"278","母親",1187
"279","父親",1191
"280","燒",1230
"281","母親",1265
"282","母親",1266
"283","父親",1271
"284","金閣",1272
"285","學校",1293
"286","金閣",1307
"287","金閣",1315
"288","金閣",1316
"289","金閣",1320
"290","美",1327
"291","金閣",1330
"292","美",1330
"293","美",1332
"294","美",1334
"295","美",1335
"296","金閣",1337
"297","黑暗",1337
"298","美",1340
"299","金閣",1343
"300","死",1345
"301","金閣",1346
"302","美",1346
"303","金閣",1348
"304","黑暗",1349
"305","美",1350
"306","金閣",1355
"307","金閣",1359
"308","金閣",1360
"309","存在",1360
"310","父親",1362
"311","金閣",1363
"312","金閣",1365
"313","金閣",1369
"314","存在",1370
"315","金閣",1373
"316","金閣",1375
"317","存在",1375
"318","金閣",1376
"319","金閣",1379
"320","存在",1379
"321","金閣",1384
"322","金閣",1389
"323","金閣",1395
"324","鶴川",1415
"325","鶴川",1417
"326","金閣",1420
"327","鶴川",1423
"328","鶴川",1446
"329","鶴川",1447
"330","金閣",1456
"331","金閣",1457
"332","父親",1459
"333","鶴川",1460
"334","金閣",1463
"335","父親",1465
"336","金閣",1467
"337","父親",1467
"338","鶴川",1472
"339","父親",1478
"340","鶴川",1488
"341","父親",1492
"342","鶴川",1500
"343","父親",1516
"344","死",1516
"345","鶴川",1528
"346","學校",1553
"347","學校",1555
"348","金閣",1564
"349","老師",1581
"350","老師",1591
"351","老師",1601
"352","老師",1606
"353","金閣",1614
"354","金閣",1619
"355","存在",1619
"356","金閣",1621
"357","金閣",1626
"358","金閣",1628
"359","金閣",1630
"360","美",1630
"361","學校",1631
"362","鶴川",1634
"363","鶴川",1637
"364","腿",1640
"365","鶴川",1646
"366","金閣",1649
"367","金閣",1652
"368","結巴",1655
"369","鶴川",1657
"370","鶴川",1661
"371","金閣",1662
"372","鶴川",1663
"373","結巴",1665
"374","美",1668
"375","美",1675
"376","鶴川",1682
"377","鶴川",1683
"378","鶴川",1690
"379","鶴川",1696
"380","鶴川",1703
"381","存在",1705
"382","鶴川",1709
"383","結巴",1714
"384","存在",1715
"385","金閣",1717
"386","金閣",1721
"387","腿",1723
"388","金閣",1726
"389","存在",1726
"390","金閣",1731
"391","金閣",1734
"392","金閣",1738
"393","黑暗",1738
"394","燒",1743
"395","金閣",1745
"396","金閣",1747
"397","金閣",1748
"398","美",1754
"399","金閣",1755
"400","金閣",1761
"401","金閣",1765
"402","美",1765
"403","金閣",1766
"404","美",1766
"405","金閣",1780
"406","黑暗",1781
"407","拒絕",1782
"408","鶴川",1787
"409","美",1789
"410","金閣",1790
"411","美",1792
"412","金閣",1794
"413","美",1794
"414","金閣",1796
"415","金閣",1798
"416","金閣",1801
"417","美",1803
"418","拒絕",1804
"419","燒",1806
"420","金閣",1807
"421","燒",1807
"422","金閣",1810
"423","金閣",1811
"424","金閣",1815
"425","美",1840
"426","金閣",1841
"427","死",1843
"428","金閣",1844
"429","黑暗",1845
"430","父親",1857
"431","死",1857
"432","母親",1858
"433","美",1861
"434","黑暗",1868
"435","美",1870
"436","黑暗",1873
"437","美",1874
"438","黑暗",1875
"439","鶴川",1880
"440","鶴川",1882
"441","鶴川",1908
"442","美",1912
"443","美",1920
"444","存在",1925
"445","鶴川",1935
"446","黑暗",1952
"447","金閣",1955
"448","金閣",1974
"449","美",1985
"450","美",2010
