"","char","freq"
"1","歇歇",1
"2","抽支",1
"3","幹完",1
"4","谷底",1
"5","瓶",1
"6","野獸",1
"7","遁逃",1
"8","燒傷",1
"9","遍體鱗傷",1
"10","沖天",1
"11","滾滾",1
"12","一齊",1
"13","爆竹",1
"14","傳出",1
"15","浮游",1
"16","點點",1
"17","挨近",1
"18","受驚",1
"19","北面",1
"20","山巔",1
"21","悸動",1
"22","野地",1
"23","明王",1
"24","後門",1
"25","出北",1
"26","停歇",1
"27","跑得快",1
"28","鑽出來",1
"29","漩渦",1
"30","爆裂聲",1
"31","腳底",1
"32","竭盡全力",1
"33","唯一",1
"34","耀眼奪目",1
"35","在想",1
"36","如宗",1
"37","蠶兒",1
"38","青蛙",1
"39","不像",1
"40","基本",1
"41","迫近",1
"42","叩門聲",1
"43","送回",1
"44","牢固",1
"45","頂的門",1
"46","展翅欲飛",1
"47","併",1
"48","譽稱",1
"49","生疑",1
"50","火中",1
"51","這艘",1
"52","頂裡",1
"53","熱度",1
"54","這等",1
"55","隱通了",1
"56","紅彤彤",1
"57","縱橫",1
"58","觀音",1
"59","樹起",1
"60","地劃",1
"61","注身",1
"62","火光",1
"63","剛劃",1
"64","水光",1
"65","胳肢窩",1
"66","灑脫",1
"67","拘於",1
"68","農民",1
"69","逢者",1
"70","物質化",1
"71","回到未來",1
"72","幼年",1
"73","繪島",1
"74","波海",1
"75","淨土",1
"76","倦怠",1
"77","樹身",1
"78","了點",1
"79","我了",1
"80","剩餘",1
"81","也行",1
"82","豈不是",1
"83","極限",1
"84","徒勞無益",1
"85","手腳",1
"86","無力感",1
"87","倒映",1
"88","肘托木",1
"89","失足",1
"90","或小琴",1
"91","習以",1
"92","地側",1
"93","從沒",1
"94","在靈",1
"95","納",1
"96","護院",1
"97","在天之靈",1
"98","日落",1
"99","踩呀",1
"100","風中",1
"101","四點",1
"102","包含",1
"103","可解",1
"104","冷",1
"105","的幣",1
"106","擠滿",1
"107","修建",1
"108","裡用",1
"109","擺出",1
"110","藏青色",1
"111","其上",1
"112","君臨",1
"113","池上",1
"114","邁開",1
"115","語句",1
"116","每逢",1
"117","蓋",1
"118","他途",1
"119","g",1
"120","這座橋",1
"121","半截",1
"122","當今世界",1
"123","通",1
"124","長長地",1
"125","形而上學",1
"126","押",1
"127","腰身",1
"128","釣段",1
"129","薄木",1
"130","高超",1
"131","檢票口",1
"132","的夢",1
"133","描畫",1
"134","深屋",1
"135","法水寺",1
"136","瞭",1
"137","著突",1
"138","曾以",1
"139","時光",1
"140","任意",1
"141","潤膩",1
"142","基礎",1
"143","增強",1
"144","一色",1
"145","豎立",1
"146","大口",1
"147","廣闊",1
"148","應舉",1
"149","兩者之間",1
"150","之勞",1
"151","嚥下去",1
"152","味道",1
"153","襲",1
"154","會到",1
"155","昨天",1
"156","食慾",1
"157","該沉",1
"158","投有",1
"159","探入",1
"160","水氣",1
"161","星散",1
"162","泊舟",1
"163","再其次",1
"164","吊鉤",1
"165","看呀",1
"166","機械式",1
"167","躍身",1
"168","雨夜",1
"169","甚是",1
"170","守寡",1
"171","格斗",1
"172","竊",1
"173","首屆",1
"174","銀波",1
"175","橫",1
"176","翻身",1
"177","香資",1
"178","的橫",1
"179","一排排",1
"180","妙",1
"181","燃剩",1
"182","陳列",1
"183","地成",1
"184","臉映",1
"185","朽木",1
"186","一配",1
"187","地拔",1
"188","出口處",1
"189","尊",1
"190","鈞",1
"191","但凡",1
"192","辦事",1
"193","箱子",1
"194","裝進",1
"195","月還",1
"196","被面",1
"197","零星",1
"198","順序",1
"199","李聲",1
"200","後頭",1
"201","蓋著",1
"202","便用",1
"203","捆",1
"204","四十",1
"205","可及了",1
"206","近在咫尺",1
"207","賽定",1
"208","默許",1
"209","了銹",1
"210","那板富",1
"211","咯吱吱",1
"212","水井",1
"213","匠",1
"214","洗澡",1
"215","將禪海",1
"216","小僧",1
"217","三十分",1
"218","反間",1
"219","對飲",1
"220","警衛",1
"221","噴薄而出",1
"222","不必",1
"223","神海",1
"224","暖",1
"225","也將",1
"226","健忘",1
"227","跡陵頻",1
"228","與眾",1
"229","閒聊",1
"230","小樹",1
"231","致歉",1
"232","葉茂",1
"233","米粒",1
"234","主觀",1
"235","標新立異",1
"236","追求",1
"237","鼓足",1
"238","獨斷",1
"239","結論性",1
"240","弊端",1
"241","虛榮心",1
"242","招人",1
"243","惡劣",1
"244","幹過",1
"245","令尊",1
"246","免費參觀",1
"247","模糊不清",1
"248","可供",1
"249","眼精",1
"250","典應",1
"251","晨風",1
"252","個禮",1
"253","從福",1
"254","並企國",1
"255","所致",1
"256","疑竇",1
"257","樹根",1
"258","常見",1
"259","秀",1
"260","顴骨",1
"261","連那",1
"262","均勻",1
"263","自由發揮",1
"264","1173-1256",1
"265","情狀",1
"266","隆起",1
"267","長大成人",1
"268","拘束",1
"269","彈海",1
"270","背何",1
"271","之光",1
"272","沉底",1
"273","輥",1
"274","迫在眉睫",1
"275","時令",1
"276","摔海",1
"277","眾生",1
"278","閒談",1
"279","裡同",1
"280","來喚",1
"281","宿",1
"282","一兩",1
"283","寺泊",1
"284","過約獎",1
"285","回話",1
"286","有別於",1
"287","人給",1
"288","要說",1
"289","進展",1
"290","抱怨",1
"291","這張臉",1
"292","冠島",1
"293","競賽",1
"294","一止",1
"295","幾號",1
"296","年來",1
"297","蔓延到",1
"298","菜園子",1
"299","發生變化",1
"300","全副",1
"301","額兒",1
"302","大豆",1
"303","月初",1
"304","南瓜",1
"305","下下",1
"306","濛濛細雨",1
"307","土間裡",1
"308","怪人",1
"309","退潮",1
"310","上百人",1
"311","性急",1
"312","遊客",1
"313","插曲",1
"314","掛",1
"315","金闖",1
"316","這等事",1
"317","線索",1
"318","像樣",1
"319","包會",1
"320","包和豆館",1
"321","內臟器官",1
"322","家犬",1
"323","寒愴",1
"324","內臟",1
"325","上劃",1
"326","看得入",1
"327","老市",1
"328","柿比",1
"329","紙口袋",1
"330","鼓鼓的",1
"331","充飢",1
"332","零食",1
"333","沿海",1
"334","本金",1
"335","遞出",1
"336","千",1
"337","爽約",1
"338","試響",1
"339","適時地",1
"340","寺僧",1
"341","修理工",1
"342","司給",1
"343","蒼天",1
"344","29",1
"345","這就是說",1
"346","難以捉摸",1
"347","螃",1
"348","自動",1
"349","唾液",1
"350","刀拔",1
"351","曠",1
"352","路向",1
"353","萬一",1
"354","察",1
"355","無關痛癢",1
"356","惹人注目",1
"357","數千萬",1
"358","公文包",1
"359","好幾個",1
"360","不治之症",1
"361","小五金",1
"362","貼鄰",1
"363","南面",1
"364","裝的",1
"365","便花",1
"366","粒裝",1
"367","今出",1
"368","保存起來",1
"369","放到",1
"370","著閣",1
"371","取而代之",1
"372","眾所",1
"373","迷途",1
"374","側將",1
"375","第一層",1
"376","動亂",1
"377","迤邐",1
"378","外力",1
"379","心據",1
"380","一切都在",1
"381","侵襲",1
"382","險些",1
"383","煩亂",1
"384","諷刺性",1
"385","惡行",1
"386","本非",1
"387","雲游",1
"388","頭垂",1
"389","怠慢",1
"390","罪",1
"391","提出申請",1
"392","聽出",1
"393","如願以償",1
"394","詞地",1
"395","乏力感",1
"396","客氣",1
"397","威信",1
"398","這就會",1
"399","情愛",1
"400","急病",1
"401","設置",1
"402","用雙",1
"403","籬笆",1
"404","伸延",1
"405","壁畫",1
"406","陽扇",1
"407","刻功",1
"408","深刻",1
"409","對準",1
"410","畫軸",1
"411","畔",1
"412","繚繞",1
"413","圓山",1
"414","樓的門",1
"415","夕佳亭裡",1
"416","茶室",1
"417","重建",1
"418","難道說",1
"419","威震天下",1
"420","碟",1
"421","眾星",1
"422","之居",1
"423","作答",1
"424","北辰",1
"425","雙膝",1
"426","面食",1
"427","雨員",1
"428","綠",1
"429","物象",1
"430","反襯",1
"431","生俞",1
"432","近旁",1
"433","小路",1
"434","講了",1
"435","敗露",1
"436","假寐",1
"437","擴大",1
"438","這並",1
"439","令人吃驚",1
"440","驅趕",1
"441","決",1
"442","地震",1
"443","撤得",1
"444","覺察到",1
"445","訴說",1
"446","好笑",1
"447","前仰後合",1
"448","登特登",1
"449","焦慮",1
"450","扔回",1
"451","庫本",1
"452","地翻",1
"453","順從",1
"454","更好",1
"455","後勁",1
"456","響應",1
"457","吃喝嫖賭",1
"458","進地",1
"459","常來",1
"460","掃得",1
"461","感傷",1
"462","亦",1
"463","給我以",1
"464","大姐",1
"465","沒頭沒腦",1
"466","過這裡",1
"467","冷不丁",1
"468","多情",1
"469","生意",1
"470","倒蠻",1
"471","年紀輕輕",1
"472","按時",1
"473","垂",1
"474","生硬",1
"475","裡交盞",1
"476","付出",1
"477","a",1
"478","幾頁",1
"479","份飯",1
"480","古典式",1
"481","害得",1
"482","思想混亂",1
"483","啟蒙",1
"484","撰寫",1
"485","詞曲",1
"486","亞的",1
"487","幸福感",1
"488","文庫",1
"489","全景",1
"490","今",1
"491","自來",1
"492","熱烈",1
"493","北野",1
"494","想不起來",1
"495","起源",1
"496","無聲無息",1
"497","訪問",1
"498","打卷",1
"499","夕雲所",1
"500","一兩歲",1
"501","密語",1
"502","院內",1
"503","地為",1
"504","枕頭",1
"505","我端",1
"506","淹沒",1
"507","水位",1
"508","甜食",1
"509","來玩呀",1
"510","鞠子將",1
"511","講究",1
"512","法國",1
"513","陳設",1
"514","財長",1
"515","踏",1
"516","甲",1
"517","玩",1
"518","偵探",1
"519","配",1
"520","抓走",1
"521","小杯",1
"522","銅版畫",1
"523","搔紅",1
"524","窮極無聊",1
"525","小菜",1
"526","顧慮",1
"527","短歇",1
"528","通宵達旦",1
"529","愛撫",1
"530","問我",1
"531","一盞",1
"532","松村",1
"533","懸吊",1
"534","三分之一",1
"535","招財貓",1
"536","神像",1
"537","繃帶",1
"538","布袋",1
"539","地擺著",1
"540","充做",1
"541","就連",1
"542","這兩人",1
"543","茶具",1
"544","從大",1
"545","煞風景",1
"546","那間",1
"547","蔽蔭處",1
"548","斷了線",1
"549","以湧",1
"550","哪間",1
"551","褲衩",1
"552","花大姐",1
"553","裙",1
"554","大方",1
"555","鏤空雕",1
"556","答風",1
"557","時飛",1
"558","渡殿",1
"559","入浴",1
"560","憑欄",1
"561","澡塘",1
"562","樓梯",1
"563","釋放",1
"564","笑了笑",1
"565","咧",1
"566","深灰色",1
"567","微癢",1
"568","停車",1
"569","氣力",1
"570","迷信",1
"571","必然",1
"572","陌生人",1
"573","童畫",1
"574","這水",1
"575","浮腫",1
"576","紅光滿面",1
"577","圓圓的",1
"578","腿肚子",1
"579","低頭",1
"580","纏著",1
"581","椅子",1
"582","強者",1
"583","第一隊",1
"584","裡首",1
"585","十字路口",1
"586","充溢",1
"587","還映",1
"588","拱之",1
"589","調聲",1
"590","木履",1
"591","餘暉",1
"592","開市",1
"593","多少次",1
"594","就給",1
"595","不悅",1
"596","出由良川",1
"597","木匠",1
"598","簾",1
"599","真偽",1
"600","家門口",1
"601","俄",1
"602","陝",1
"603","過讓",1
"604","富",1
"605","暗色",1
"606","報以",1
"607","按鈴",1
"608","窩藏",1
"609","張羅",1
"610","小巷",1
"611","淫欲",1
"612","陰莖",1
"613","禪林",1
"614","一頁",1
"615","尊勝",1
"616","佛頂",1
"617","佛畫",1
"618","調清",1
"619","罪過",1
"620","筆畫",1
"621","來意",1
"622","錯",1
"623","紅粉",1
"624","履行",1
"625","試用",1
"626","始能",1
"627","探望",1
"628","曾將",1
"629","制品",1
"630","破傷風",1
"631","1926",1
"632","再現",1
"633","連到",1
"634","1875",1
"635","待人",1
"636","入場券",1
"637","奧地利",1
"638","做做",1
"639","化膿",1
"640","的傷",1
"641","死因",1
"642","薔薇花",1
"643","將煙",1
"644","食指",1
"645","B",1
"646","昨",1
"647","一無",1
"648","給治服",1
"649","死神",1
"650","與日俱增",1
"651","人和事",1
"652","沉甸甸地",1
"653","董",1
"654","山後",1
"655","鬧市",1
"656","停下來",1
"657","向前走",1
"658","想煩",1
"659","五官端正",1
"660","表示感謝",1
"661","木厲",1
"662","輪船",1
"663","稿本",1
"664","奢華",1
"665","放心好了",1
"666","尋花問柳",1
"667","腳上",1
"668","得花",1
"669","北新",1
"670","寄托",1
"671","躲",1
"672","交界處",1
"673","一層樓",1
"674","趕出去",1
"675","火冒三丈",1
"676","花掉",1
"677","說書",1
"678","嘀咕",1
"679","桃色",1
"680","匯給",1
"681","還會給",1
"682","繳納",1
"683","竟扎下",1
"684","湧上",1
"685","550",1
"686","350",1
"687","巨輪",1
"688","毛骨驚",1
"689","神戶港",1
"690","地瞪大",1
"691","鳥膠",1
"692","這層",1
"693","下人",1
"694","的貓",1
"695","貪睡",1
"696","除非",1
"697","玩藝兒",1
"698","這又有",1
"699","是給",1
"700","不服輸",1
"701","怎麼辦",1
"702","中消",1
"703","顱骨",1
"704","茂盛",1
"705","修訂",1
"706","底下",1
"707","恍然大悟",1
"708","疑惑",1
"709","讀完",1
"710","愕然",1
"711","靈魂",1
"712","之命",1
"713","潸潸",1
"714","信時",1
"715","字裡",1
"716","呼",1
"717","之差",1
"718","年輕漂亮",1
"719","小字",1
"720","交情",1
"721","移植",1
"722","非難",1
