"","term","term_count","doc_count"
"4","壁龕",10,1
"22","施主",10,1
"62","所在",10,1
"73","無形",10,1
"90","之下",10,1
"154","鏡湖",10,1
"227","保護",10,1
"261","聯系",10,1
"382","居住",10,1
"455","儘管如此",10,1
"606","敞開",10,1
"704","進行",10,1
"747","必要",10,1
"857","結束",10,1
"921","虛無",10,1
"945","無言",10,1
"962","腳步聲",10,1
"1147","感動",10,1
"1222","擺脫",10,1
"1296","兩個",10,1
"1591","愈發",10,1
"1720","或者",10,1
"1846","新鮮",10,1
"1857","化身",10,1
"1893","當時",10,1
"2122","其他",10,1
"2310","即將",10,1
"2441","色彩",10,1
"2675","關系",10,1
"2774","中央",10,1
"2786","盒飯",10,1
"2850","看看",10,1
"2893","師兄弟",10,1
"2996","一旦",10,1
"3144","聽到",10,1
"3281","仍然",10,1
"3309","做出",10,1
"3572","預感",10,1
"3588","道路",10,1
"3635","一部分",10,1
"3766","記得",10,1
"4028","工廠",10,1
"4163","回去",10,1
"4192","深處",10,1
"4201","不在",10,1
"4489","支撐",10,1
"4523","白色",10,1
"4570","光明",10,1
"4580","包裹",10,1
"4595","交往",10,1
"4805","說出",10,1
"4891","往常",10,1
"4917","黎明前",10,1
"4941","種種",10,1
"4943","掛著",10,1
"5087","火焰",10,1
"5098","心情",10,1
"5138","仰望",10,1
"5304","當年",10,1
"5604","毀滅",10,1
"5635","胸脯",10,1
"5836","紅色",10,1
"5863","有關",10,1
"6024","各自",10,1
"6070","一位",10,1
"6193","出走",10,1
"6339","動物",10,1
"6565","這才",10,1
"6669","吹奏",10,1
"6693","張開",10,1
"6895","群山",10,1
"6949","絕不",10,1
"6955","總覺",10,1
"7138","一角",10,1
"7228","凝望",10,1
"7434","見證人",10,1
"7475","有人",10,1
"7716","拉門",10,1
"7808","沐浴",10,1
"7907","怎樣",10,1
"8040","相當",10,1
"8149","過了",10,1
"8183","承受",10,1
"8214","思緒",10,1
"8466","戰敗",10,1
"8470","這回",10,1
"8688","望了望",10,1
"9301","哪怕",10,1
"9730","心靈",10,1
"9859","說不定",10,1
"9961","儘管",10,1
"9974","顏色",10,1
"10059","以前",10,1
"10245","計劃",10,1
"10378","情緒",10,1
"10689","如果說",10,1
"10713","期待",10,1
"10982","打掃",10,1
"11075","輕蔑",10,1
"11220","比起",10,1
"11580","方才",10,1
"47","機會",11,1
"500","我並",11,1
"815","不僅",11,1
"834","態度",11,1
"1236","堅定",11,1
"1320","旋即",11,1
"1335","真正",11,1
"1859","短暫",11,1
"1868","奔跑",11,1
"1996","建築",11,1
"2084","沿著",11,1
"2090","黑夜",11,1
"2253","剛才",11,1
"2272","從未",11,1
"2449","不到",11,1
"2571","悲傷",11,1
"2669","法師",11,1
"2861","明確",11,1
"3633","形狀",11,1
"3800","一張",11,1
"3843","解開",11,1
"3873","實在",11,1
"4380","靠近",11,1
"4525","公寓",11,1
"4574","和服",11,1
"4697","叔父",11,1
"4745","深深地",11,1
"5127","說話",11,1
"5198","夢見",11,1
"5824","寂靜",11,1
"5892","卻是",11,1
"5924","死去",11,1
"6739","帳子",11,1
"7133","保持",11,1
"7340","明天",11,1
"7504","並不",11,1
"7631","類似",11,1
"7866","加上",11,1
"7906","方向",11,1
"7992","泛起",11,1
"7997","微微",11,1
"8429","來時",11,1
"8473","地獄",11,1
"8634","黑市",11,1
"8638","面孔",11,1
"9021","不要",11,1
"9219","庭院",11,1
"9229","清晰",11,1
"9770","得到",11,1
"10099","起床",11,1
"10283","快活",11,1
"10310","參觀",11,1
"10354","石頭",11,1
"10384","手指",11,1
"10393","性格",11,1
"10600","理由",11,1
"10683","學習",11,1
"10728","越來越",11,1
"10733","早就",11,1
"11080","似是",11,1
"11407","注意",11,1
"11464","永恆",11,1
"11541","毋寧",11,1
"11548","打算",11,1
"11555","門扉",11,1
"104","說明",12,1
"146","譬如",12,1
"332","准備",12,1
"596","公開",12,1
"699","暗示",12,1
"861","這座",12,1
"1145","體驗",12,1
"1999","明亮",12,1
"2234","實際上",12,1
"2316","一聲",12,1
"2339","燈光",12,1
"2504","拋棄",12,1
