"","x"
"1",""""",""x""
""1"",""







    我幼年時代"
"2","父親常常同我講金閣的故事"
"3","
    我出生在舞鶴東北一個伸向日本海的荒涼的海角"
"4","老家不是這裡"
"5","而是舞鶴東郊的志樂"
"6","根據眾人的懇切期望"
"7","父親遁入空門"
"8","當了偏僻的海角寺廟的住持"
"9","在當地娶了妻子"
"10","生下了我"
"11","
    在成生海角的寺廟附近"
"12","沒有合適的中學"
"13","不久"
"14","我便離開雙親膝下"
"15","寄養在老家的叔父家中"
"16","從這裡徒步走讀於東舞鶴中學"
"17","
    老家陽光充足"
"18","但是"
"19","在一年之中的11月、12月"
"20","即使是萬里無雲的晴朗日子"
"21","一天也要下四五次陣雨"
"22","我的變化無常的情緒"
"23","可能就是在這塊土地上培養起來的"
"24","
    5月黃昏"
"25","從學校回到家裡"
"26","我經常從叔父家的二樓書齋眺望對面的小山"
"27","承受著夕照的翠綠的山腰"
"28","恍如在原野中央豎起的一扇金屏風"
"29","目睹這番景象"
"30","我就聯想起金閣來了"
"31","
    從照片上或教科書裡"
"32","我經常看到現實的金閣"
"33","然而在我心中"
"34","父親所講的金閣的幻影"
"35","遠勝於現實的金閣"
"36","父親決不會說現實的金閣是金光閃閃之類的話"
"37","按父親講述"
"38","人世間再沒有比金閣更美的東西了"
"39","同時"
"40","我內心裡從金閣這個字面及其音韻所描繪出的金閣"
"41","是無與倫比的"
"42","
    每次看見陽光在遠處的水田里閃耀的時候"
"43","我都會疑是肉眼看不見的金閣的投影"
"44","成為福井縣和京都府分水嶺的吉場嶺"
"45","正好坐落在正東的方向"
"46","太陽從這山嶺附近升起"
"47","它與現實的京都是正相反的方面"
"48","然而我透過山谷的晨曦卻看見了金閣高聳雲天"
"49","
    就這樣"
"50","金閣處處皆是"
"51","而在現實裡卻看不見"
"52","在這一點上"
"53","它酷似這塊土地上的海"
"54","舞鶴灣位於志樂村西邊四公里多地"
"55","海被山巒遮擋"
"56","看不見了"
"57","但這塊土地上總是飄蕩著一種預感到海似的東西"
"58","偶爾"
"59","風絲也送來了海的氣息"
"60","海上一起風暴"
"61","海鷗群就紛紛逃命"
"62","飛落在這一帶的田野上"
"63","
    我體弱"
"64","不論跑步還是練單槓都輸給人家"
"65","再加上天生結巴"
"66","我就愈加畏首畏尾了"
"67","而且大家都知道我是寺廟住持的孩子"
"68","頑童們模仿口吃和尚結結巴巴誦經"
"69","在取笑我"
"70","說書說到結巴的偵探出場的段落"
"71","他們就故意讓我念給他們聽"
"72","
    結巴"
"73","不消說在我和外界之間設置了一道屏障"
"74","我很難發好第一個字音"
"75","這第一個字音彷彿是打開我的內心世界和外界之間的門扉的鑰匙"
"76","然而這把鑰匙卻從不曾順利地將門扉打開過"
"77","一般人通過自由操縱語言"
"78","可以敞開內心世界與外界之間的門扉"
"79","使它通風良好"
"80","可是我怎麼也辦不到"
"81","我這把鑰匙完全生銹了"
"82","
    結巴的人為了發出第一聲而焦灼萬分"
"83","他就好像一隻企圖從內界濃密的粘鳥膠擺脫出來而拚死掙扎的小鳥"
"84","好不容易掙脫出來"
"85","卻為時已晚矣"
"86","誠然"
"87","在我苦苦掙扎的時候"
"88","外界的現實似乎也有罷手等待著我的情況"
"89","可是等待著我的現實"
"90","已經不是新鮮的現實"
"91","縱令我費盡工夫好容易到達了外界"
"92","那裡卻又總是瞬間變色"
"93","完全錯位了……於是我想"
"94","惟有這樣對我才最合適"
"95","失去新鮮度的現實"
"96","散發著半腐臭的現實"
"97","總是橫躺在我的眼前"
"98","
    這樣的少年抱有兩種相反的權力意志"
"99","這是很容易想像出來的"
"100","我喜歡閱讀有關歷史上暴君的書"
"101","倘使我是個結巴而寡言的暴君"
"102","那麼家屬們窺見我的臉色"
"103","就會終日戰戰兢兢地生活"
"104","我沒有必要用明確而流暢的語言來使我的殘暴正當化"
"105","因為只要我寡言就可以使一切殘暴正當化"
"106","這樣"
"107","我總樂於幻想把平日藐視我的教師和同學一個個地處以刑罰"
"108","我還樂於幻想我成為內心世界的國王"
"109","成為冷靜觀察的大藝術家"
"110","儘管我表面很貧窮"
"111","可精神世界卻比誰都富有"
"112","少年抱有一種難以排除的自卑感"
"113","認為自己是被悄悄挑選出來的"
"114","這不也是理所當然的嗎"
"115","我總覺得這個世界的海角天涯"
"116","存在著我自己尚未知曉的使命在等待著我"
"117","
    ……我想起這樣一段插話"
"118","
    東舞鶴中學是一座新式的明亮的校舍"
"119","它擁有寬敞的體育場"
"120","被蜿蜒的群山所環繞"
"121","
    5月的一天"
"122","現就讀於舞鶴海軍輪機學校的一個中學老校友請假回母校來了"
"123","
    他曬得黝黑"
"124","從深戴的制帽帽舌下露出了挺秀的鼻樑"
"125","從頭到腳都勃勃有生氣"
"126","一派英雄的氣概"
"127","在低班同學面前"
"128","他暢談了紀律嚴格的生活"
"129","然而"
"130","他在講述這種理應是淒慘的生活時"
"131","卻用了彷彿敘說奢侈豪華的生活的口吻"
"132","他一舉手一投足都充滿了自豪和稚嫩"
"133","完全懂得自己的謙遜的份量"
"134","他的制服胸前飾有蛇腹形飾線"
"135","他挺起的胸膛活像迎著風浪前進的船首"
"136","
    他走下了體育場兩三級的大谷石１石階"
"137","在石階上坐了下來"
"138","四周坐著四五個低班的同學"
"139","在傾聽著他的講述"
"140","聽得入了迷"
"141","5月的鬱金香、香豌豆、銀蓮花、虞美人等各色的花"
"142","在斜坡的花圃裡爭妍鬥艷"
"143","頭頂上的樸樹盛開著大朵的白花——
    １大谷石"
"144","日本(木厲)木縣大谷一帶出產的一種凝灰巖"
"145","
    講的人和聽的人都像是尊紀念像"
"146","紋絲不動"
"147","至於我"
"148","則獨自一人坐在距他們約兩米遠的體育場的長凳上"
"149","這就是我的禮儀"
"150","這是我對5月的花團錦簇"
"151","充滿自豪的制服和明朗的笑聲的一種禮儀"
"152","
    卻說這位年輕的英雄"
"153","不去注意他的崇拜者"
"154","而更多地注意起我來"
"155","在他看來"
"156","彷彿誰有我不低於他的威風"
"157","這樣的感覺傷害了他的自豪感"
"158","他向大家打聽了我的名字"
"159","然後向初次見面的我相呼道"
"160","
    「喂"
"161","溝口"
"162","」
    我依然不言語"
"163","直勾勾地望著他"
"164","他衝著我笑了"
"165","笑容裡含著一種似是掌權者的謅媚的東西"
"166","
    「怎麼不回話呀"
"167","你是啞巴嗎"
"168","」
    「是結、結、結巴"
"169","」他的一個崇拜者代替我回答了一句"
"170","
    大家扭著身子笑了起來"
"171","嘲笑這種東西是這樣的耀眼"
"172","對我來說"
"173","同班同學那種少年期特有的殘酷的笑聲"
"174","猶如灑滿陽光的葉叢那樣璀璨奪目"
"175","
    「什麼呀"
"176","是結巴"
"177","你不想上海軍學校嗎"
"178","結巴嘛"
"179","一天就會給你整治好的"
"180","」
    不知怎的"
"181","我竟很快做出了明確的回答"
"182","語言流暢與意志無關"
"183","抽冷子脫口說出"
"184","
    「不上"
"185","我要當和尚"
"186","」
    大家鴉雀無聲"
"187","年輕的英雄低下頭來"
"188","摘了身邊的一根草"
"189","街在嘴裡"
"190","
    「唔"
"191","這樣的話"
"192","再過幾年"
"193","也許我還會麻煩你的啊"
"194","」
    是年"
"195","太平洋戰爭爆發了"
"196","
    ……這時候"
"197","我的確產生了一種自覺"
"198","我向黑暗的世界張開雙臂等待著"
"199","不久"
"200","5月的花、制服、壞心眼的同學們都將投入我張開的雙臂裡"
"201","我自己要在社會底層緊緊拉住、抓住這個世界……然而"
"202","這種自覺成為少年的自豪"
"203","這未免太沉重了"
"204","
    自豪必須是更輕鬆的、明朗的、肉眼清晰可見的、光燦燦的東西"
"205","我需求肉眼看得見的東西"
"206","需求誰都看得見的成為我的自豪的東西"
"207","比如說"
"208","他腰間佩帶的短劍正是這樣的東西"
"209","
    中學生都憚憬的短劍"
